country,sector,service,type,source
Oman,Education and Training,export_wins,exported,export_wins
Australia,Food and Drink : Bakery Products,export_wins,exported,export_wins
China,Retail,export_wins,exported,export_wins
Spain,Chemicals,export_wins,exported,export_wins
Kuwait,Security : Cyber Security,export_wins,exported,export_wins
Saudi Arabia,Education and Training,export_wins,exported,export_wins
Ireland,Defence,export_wins,exported,export_wins
Sweden,Food and Drink : Food and Drink Manufacturing,export_wins,exported,export_wins
India,Education and Training,export_wins,exported,export_wins
India,Advanced Engineering,export_wins,exported,export_wins
Italy,Chemicals,export_wins,exported,export_wins
Hong Kong,Food and Drink : Frozen and Chilled Foods,export_wins,exported,export_wins
Taiwan,Healthcare and Medical,export_wins,exported,export_wins
Germany,Leisure and Tourism,export_wins,exported,export_wins
Netherlands,Food and Drink : Beverages and Alcoholic Drinks,export_wins,exported,export_wins
South Korea,Advanced Engineering,export_wins,exported,export_wins
Iraq,Airports,export_wins,exported,export_wins
Germany,"Textiles, Interior Textiles and Carpets",export_wins,exported,export_wins
Oman,Food and Drink,export_wins,exported,export_wins
Qatar,Airports,export_wins,exported,export_wins
France,Retail,export_wins,exported,export_wins
Indonesia,Security,export_wins,exported,export_wins
Israel,Food and Drink : Beverages and Alcoholic Drinks,export_wins,exported,export_wins
Ireland,Construction,export_wins,exported,export_wins
China,Power : Nuclear,export_wins,exported,export_wins
Sweden,Automotive : Automotive Retail,export_wins,exported,export_wins
France,Mechanical Electrical and Process Engineering,export_wins,exported,export_wins
Japan,Software and Computer Services Business to Business (B2B) : Financial Applications,export_wins,exported,export_wins
Ireland,Construction,export_wins,exported,export_wins
China,Healthcare and Medical,export_wins,exported,export_wins
Switzerland,"Creative and Media : Creative and Media Retail : Books, Newspapers and Stationery",export_wins,exported,export_wins
Germany,Business (and Consumer) Services,export_wins,exported,export_wins
Luxembourg,Automotive,export_wins,exported,export_wins
Singapore,Education and Training,export_wins,exported,export_wins
Kuwait,Marine,export_wins,exported,export_wins
Norway,"Household Goods, Furniture and Furnishings",export_wins,exported,export_wins
China,Creative and Media : Architecture,export_wins,exported,export_wins
China,Leisure and Tourism,export_wins,exported,export_wins
Thailand,Advanced Engineering,export_wins,exported,export_wins
Switzerland,Financial Services (including Professional Services),export_wins,exported,export_wins
Australia,Oil and Gas,export_wins,exported,export_wins
Switzerland,Education and Training,export_wins,exported,export_wins
Taiwan,Mechanical Electrical and Process Engineering,export_wins,exported,export_wins
New Zealand,"Giftware, Jewellery and Tableware",export_wins,exported,export_wins
Hong Kong,"Giftware, Jewellery and Tableware",export_wins,exported,export_wins
Singapore,Advanced Engineering,export_wins,exported,export_wins
Australia,Creative and Media : Media : Advertising,export_wins,exported,export_wins
Austria,Defence and Security,export_wins,exported,export_wins
Switzerland,Creative and Media : Creative and Media Retail : Antiques and Antiquities,export_wins,exported,export_wins
China,Retail,export_wins,exported,export_wins
Laos,Education and Training,export_wins,exported,export_wins
Malaysia,Education and Training,export_wins,exported,export_wins
Norway,"Clothing, Footwear and Fashion",export_wins,exported,export_wins
Croatia,Electronics and IT Hardware,export_wins,exported,export_wins
Poland,Food and Drink,export_wins,exported,export_wins
Norway,Advanced Engineering,export_wins,exported,export_wins
France,Mass Transport,export_wins,exported,export_wins
Switzerland,"Giftware, Jewellery and Tableware",export_wins,exported,export_wins
Denmark,Life Sciences,export_wins,exported,export_wins
South Korea,Chemicals,export_wins,exported,export_wins
Switzerland,"Clothing, Footwear and Fashion : Clothing",export_wins,exported,export_wins
Kazakhstan,Oil and Gas,export_wins,exported,export_wins
United Arab Emirates,Financial Services (including Professional Services) : Banking,export_wins,exported,export_wins
Panama,Life Sciences,export_wins,exported,export_wins
Vietnam,Environment : Air Pollution and Noise Control,export_wins,exported,export_wins
Peru,Healthcare and Medical,export_wins,exported,export_wins
Canada,"Creative and Media : Art, Design and Creativity",export_wins,exported,export_wins
China,Healthcare and Medical,export_wins,exported,export_wins
Canada,Mechanical Electrical and Process Engineering,export_wins,exported,export_wins
Switzerland,Biotechnology and Pharmaceuticals : Pharmaceuticals,export_wins,exported,export_wins
France,Creative and Media : Media Reproduction : Printing,export_wins,exported,export_wins
Australia,Electronics and IT Hardware,export_wins,exported,export_wins
Germany,"Giftware, Jewellery and Tableware",export_wins,exported,export_wins
France,"Clothing, Footwear and Fashion",export_wins,exported,export_wins
Kuwait,ICT,export_wins,exported,export_wins
Germany,Food and Drink,export_wins,exported,export_wins
Kazakhstan,Oil and Gas,export_wins,exported,export_wins
China,Education and Training,export_wins,exported,export_wins
China,Food and Drink,export_wins,exported,export_wins
Australia,ICT,export_wins,exported,export_wins
Poland,Education and Training,export_wins,exported,export_wins
India,Environment,export_wins,exported,export_wins
Ireland,Retail,export_wins,exported,export_wins
Japan,Healthcare and Medical : Medical Devices and Systems,export_wins,exported,export_wins
United Arab Emirates,Leisure and Tourism,export_wins,exported,export_wins
Kazakhstan,Mining,export_wins,exported,export_wins
Japan,"Giftware, Jewellery and Tableware",export_wins,exported,export_wins
China,Healthcare and Medical,export_wins,exported,export_wins
Germany,Automotive,export_wins,exported,export_wins
United Arab Emirates,Education and Training,export_wins,exported,export_wins
Germany,Food and Drink,export_wins,exported,export_wins
Italy,Retail,export_wins,exported,export_wins
India,Software and Computer Services Business to Business (B2B),export_wins,exported,export_wins
Kuwait,Food and Drink,export_wins,exported,export_wins
China,Advanced Engineering,export_wins,exported,export_wins
Germany,Retail,export_wins,exported,export_wins
Netherlands,Environment,export_wins,exported,export_wins
Kuwait,"Clothing, Footwear and Fashion",export_wins,exported,export_wins
Russia,Creative and Media : Media,export_wins,exported,export_wins
United Arab Emirates,Retail,export_wins,exported,export_wins
South Korea,Automotive,export_wins,exported,export_wins
China,Financial Services (including Professional Services),export_wins,exported,export_wins
Japan,Business (and Consumer) Services,export_wins,exported,export_wins
France,Leisure and Tourism,export_wins,exported,export_wins
China,Life Sciences,export_wins,exported,export_wins
Vietnam,Food and Drink,export_wins,exported,export_wins
Hong Kong,Business (and Consumer) Services,export_wins,exported,export_wins
France,Food and Drink : Ready Meals,export_wins,exported,export_wins
Slovakia,Business (and Consumer) Services,export_wins,exported,export_wins
Bahrain,Creative and Media : Architecture,export_wins,exported,export_wins
United Arab Emirates,Financial Services (including Professional Services) : Professional Services : Accountancy Services,export_wins,exported,export_wins
Saudi Arabia,Oil and Gas,export_wins,exported,export_wins
Germany,Business (and Consumer) Services,export_wins,exported,export_wins
Spain,Retail,export_wins,exported,export_wins
United Arab Emirates,Security,export_wins,exported,export_wins
Hungary,Automotive,export_wins,exported,export_wins
Spain,Construction,export_wins,exported,export_wins
Colombia,Airports,export_wins,exported,export_wins
Japan,Automotive,export_wins,exported,export_wins
Switzerland,"Clothing, Footwear and Fashion",export_wins,exported,export_wins
South Africa,Advanced Engineering,export_wins,exported,export_wins
Belgium,Creative and Media : Creative and Media Retail : Art,export_wins,exported,export_wins
Spain,"Household Goods, Furniture and Furnishings",export_wins,exported,export_wins
Spain,"Giftware, Jewellery and Tableware",export_wins,exported,export_wins
Finland,Creative and Media,export_wins,exported,export_wins
China,Healthcare and Medical,export_wins,exported,export_wins
Qatar,Financial Services (including Professional Services) : Capital Markets,export_wins,exported,export_wins
Germany,Energy,export_wins,exported,export_wins
China,Creative and Media,export_wins,exported,export_wins
New Zealand,Automotive,export_wins,exported,export_wins
France,Mechanical Electrical and Process Engineering,export_wins,exported,export_wins
Australia,Food and Drink : Food and Drink Manufacturing,export_wins,exported,export_wins
Slovenia,Food and Drink : Brewing,export_wins,exported,export_wins
Germany,"Clothing, Footwear and Fashion",export_wins,exported,export_wins
Cyprus,Healthcare and Medical,export_wins,exported,export_wins
United Arab Emirates,Education and Training,export_wins,exported,export_wins
Spain,Automotive : Automotive Retail,export_wins,exported,export_wins
Germany,Creative and Media : Media : Music,export_wins,exported,export_wins
United Arab Emirates,Education and Training,export_wins,exported,export_wins
Germany,"Giftware, Jewellery and Tableware",export_wins,exported,export_wins
Saudi Arabia,Food and Drink,export_wins,exported,export_wins
