,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,United Nations,,,,,,,,,,,
,,,Population Division,,,,,,,,,,,
,,,Department of Economic and Social Affairs,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,World Urbanization Prospects: The 2018 Revision,,,,,,,,,,,
,,,"File 1: Population of Urban and Rural Areas at Mid-Year (thousands) and Percentage Urban, 2018",,,,,,,,,,,
,,,,,,,,,,,,,,
,,,POP/DB/WUP/Rev.2018/1/F01,,,,,,,,,,,
,,,"Copyright © 2018 by United Nations, made available under a Creative Commons license CC BY 3.0 IGO: http://creativecommons.org/licenses/by/3.0/igo/",,,,,,,,,,,
,,,"Suggested citation: United Nations, Department of Economic and Social Affairs, Population Division (2018). World Urbanization Prospects: The 2018 Revision, Online Edition.",,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,"Population of Urban and Rural Areas at Mid-Year (thousands) and Percentage Urban, 2018",,,,,,,,,,x
Index,"Region, subregion, country or area",Note,"Country
code",Urban,Rural,Total,Percentage urban,,,,,,,
1,WORLD,,900, 4 219 817, 3 413 002, 7 632 819, 55.3,,,,,,,
2,More developed regions,a,901,  993 837,  269 363, 1 263 200, 78.7,,,,,,,
3,Less developed regions,b,902, 3 225 980, 3 143 639, 6 369 620, 50.6,,,,,,,
4,Least developed countries,c,941,  344 291,  681 645, 1 025 937, 33.6,,,,,,,
5,"Less developed regions, excluding least developed countries",d,934, 2 881 689, 2 461 994, 5 343 683, 53.9,,,,,,,
6,"Less developed regions, excluding China",,948, 2 362 379, 2 560 440, 4 922 818, 48.0,,,,,,,
7,High-income countries,e,1503,  975 461,  221 730, 1 197 191, 81.5,,,,,,,
8,Middle-income countries,e,1517, 3 017 642, 2 720 000, 5 737 642, 52.6,,,,,,,
9,Upper-middle-income countries,e,1502, 1 759 118,  881 117, 2 640 235, 66.6,,,,,,,
10,Lower-middle-income countries,e,1501, 1 258 524, 1 838 883, 3 097 407, 40.6,,,,,,,
11,Low-income countries,e,1500,  224 131,  470 929,  695 060, 32.2,,,,,,,
12,Sub-Saharan Africa,f,947,  423 958,  626 178, 1 050 136, 40.4,,,,,,,
13,AFRICA,,903,  547 602,  740 318, 1 287 921, 42.5,,,,,,,
14,Eastern Africa,,910,  121 316,  312 328,  433 643, 28.0,,,,,,,
