"Sector ID","Full sector name","Sector cluster name (April 2023 onwards)","Sector cluster name (before April 2023)","name","Sub sector name","Sub sub sector name","Start date","End date"
"SL0001","Advanced engineering","Sustainability and Infrastructure","Technology and Advanced Manufacturing","Advanced engineering","","","",""
"SL0002","Advanced engineering : Mechanical, electrical and process engineering","Sustainability and Infrastructure","Technology and Advanced Manufacturing","Advanced engineering","Mechanical, electrical and process engineering","","",""
"SL0003","Advanced engineering : Metallurgical process plant","Sustainability and Infrastructure","Technology and Advanced Manufacturing","Advanced engineering","Metallurgical process plant","","",""
"SL0004","Advanced engineering : Metals, minerals and materials","Sustainability and Infrastructure","Technology and Advanced Manufacturing","Advanced engineering","Metals, minerals and materials","","",""
"SL0005","Advanced engineering : Metals, minerals and materials : Ceramics","Sustainability and Infrastructure","Technology and Advanced Manufacturing","Advanced engineering","Metals, minerals and materials","Ceramics","",""
"SL0006","Advanced engineering : Metals, minerals and materials : Composite materials","Sustainability and Infrastructure","Technology and Advanced Manufacturing","Advanced engineering","Metals, minerals and materials","Composite materials","",""
"SL0007","Advanced engineering : Metals, minerals and materials : Elastomers and rubbers","Sustainability and Infrastructure","Technology and Advanced Manufacturing","Advanced engineering","Metals, minerals and materials","Elastomers and rubbers","",""
"SL0008","Advanced engineering : Metals, minerals and materials : Metals","Sustainability and Infrastructure","Technology and Advanced Manufacturing","Advanced engineering","Metals, minerals and materials","Metals","",""
"SL0009","Advanced engineering : Metals, minerals and materials : Minerals","Sustainability and Infrastructure","Technology and Advanced Manufacturing","Advanced engineering","Metals, minerals and materials","Minerals","",""
"SL0010","Advanced engineering : Metals, minerals and materials : Plastics","Sustainability and Infrastructure","Technology and Advanced Manufacturing","Advanced engineering","Metals, minerals and materials","Plastics","",""
"SL0011","Aerospace","Sustainability and Infrastructure","Technology and Advanced Manufacturing","Aerospace","","","",""
"SL0012","Aerospace : Aircraft design","Sustainability and Infrastructure","Technology and Advanced Manufacturing","Aerospace","Aircraft design","","",""
"SL0013","Aerospace : Component manufacturing","Sustainability and Infrastructure","Technology and Advanced Manufacturing","Aerospace","Component manufacturing","","",""
"SL0015","Aerospace : Component manufacturing : Engines","Sustainability and Infrastructure","Technology and Advanced Manufacturing","Aerospace","Component manufacturing","Engines","",""
"SL0017","Aerospace : Maintenance","Sustainability and Infrastructure","Technology and Advanced Manufacturing","Aerospace","Maintenance","","",""
"SL0018","Aerospace : Manufacturing and assembly","Sustainability and Infrastructure","Technology and Advanced Manufacturing","Aerospace","Manufacturing and assembly","","",""
"SL0019","Aerospace : Manufacturing and assembly : Aircraft","Sustainability and Infrastructure","Technology and Advanced Manufacturing","Aerospace","Manufacturing and assembly","Aircraft","",""
"SL0021","Aerospace : Manufacturing and assembly : Unmanned aerial vehicles","Sustainability and Infrastructure","Technology and Advanced Manufacturing","Aerospace","Manufacturing and assembly","Unmanned aerial vehicles","",""
"SL0022","Agriculture, horticulture, fisheries and pets","Agriculture, Food and Drink","Healthcare, Life sciences and Bio-Economy","Agriculture, horticulture, fisheries and pets","","","",""
"SL0023","Agriculture, horticulture, fisheries and pets : Advisory services","Agriculture, Food and Drink","Healthcare, Life sciences and Bio-Economy","Agriculture, horticulture, fisheries and pets","Advisory services","","",""
"SL0024","Agriculture, horticulture, fisheries and pets : Arable crops","Agriculture, Food and Drink","Healthcare, Life sciences and Bio-Economy","Agriculture, horticulture, fisheries and pets","Arable crops","","",""
"SL0025","Agriculture, horticulture, fisheries and pets : Arable crops : Fertilisers and pesticides","Agriculture, Food and Drink","Healthcare, Life sciences and Bio-Economy","Agriculture, horticulture, fisheries and pets","Arable crops","Fertilisers and pesticides","",""
"SL0027","Agriculture, horticulture, fisheries and pets : Arable crops : Seeds and plant varieties","Agriculture, Food and Drink","Healthcare, Life sciences and Bio-Economy","Agriculture, horticulture, fisheries and pets","Arable crops","Seeds and plant varieties","",""
"SL0028","Agriculture, horticulture, fisheries and pets : Arable crops : Soil management systems","Agriculture, Food and Drink","Healthcare, Life sciences and Bio-Economy","Agriculture, horticulture, fisheries and pets","Arable crops","Soil management systems","",""
"SL0029","Agriculture, horticulture, fisheries and pets : Engineering and precision farming","Agriculture, Food and Drink","Healthcare, Life sciences and Bio-Economy","Agriculture, horticulture, fisheries and pets","Engineering and precision farming","","",""
"SL0030","Agriculture, horticulture, fisheries and pets : Engineering and precision farming : Machinery","Agriculture, Food and Drink","Healthcare, Life sciences and Bio-Economy","Agriculture, horticulture, fisheries and pets","Engineering and precision farming","Machinery","",""
"SL0031","Agriculture, horticulture, fisheries and pets : Engineering and precision farming : Technology","Agriculture, Food and Drink","Healthcare, Life sciences and Bio-Economy","Agriculture, horticulture, fisheries and pets","Engineering and precision farming","Technology","",""
"SL0032","Agriculture, horticulture, fisheries and pets : Fisheries and aquaculture","Agriculture, Food and Drink","Healthcare, Life sciences and Bio-Economy","Agriculture, horticulture, fisheries and pets","Fisheries and aquaculture","","",""
"SL0036","Agriculture, horticulture, fisheries and pets : Forestry and logging","Agriculture, Food and Drink","Healthcare, Life sciences and Bio-Economy","Agriculture, horticulture, fisheries and pets","Forestry and logging","","",""
"SL0037","Agriculture, horticulture, fisheries and pets : Horticulture","Agriculture, Food and Drink","Healthcare, Life sciences and Bio-Economy","Agriculture, horticulture, fisheries and pets","Horticulture","","",""
"SL0038","Agriculture, horticulture, fisheries and pets : Horticulture : Fruit and vegetable production","Agriculture, Food and Drink","Healthcare, Life sciences and Bio-Economy","Agriculture, horticulture, fisheries and pets","Horticulture","Fruit and vegetable production","",""
"SL0040","Agriculture, horticulture, fisheries and pets : Infrastructure","Agriculture, Food and Drink","Healthcare, Life sciences and Bio-Economy","Agriculture, horticulture, fisheries and pets","Infrastructure","","",""
"SL0044","Agriculture, horticulture, fisheries and pets : Livestock, pets and horses","Agriculture, Food and Drink","Healthcare, Life sciences and Bio-Economy","Agriculture, horticulture, fisheries and pets","Livestock, pets and horses","","",""
"SL0045","Agriculture, horticulture, fisheries and pets : Livestock, pets and horses : Breeding stock and genetics","Agriculture, Food and Drink","Healthcare, Life sciences and Bio-Economy","Agriculture, horticulture, fisheries and pets","Livestock, pets and horses","Breeding stock and genetics","",""
"SL0046","Agriculture, horticulture, fisheries and pets : Livestock, pets and horses : Health, welfare and veterinary services","Agriculture, Food and Drink","Healthcare, Life sciences and Bio-Economy","Agriculture, horticulture, fisheries and pets","Livestock, pets and horses","Health, welfare and veterinary services","",""
"SL0047","Agriculture, horticulture, fisheries and pets : Livestock, pets and horses : Livestock feed and nutrition","Agriculture, Food and Drink","Healthcare, Life sciences and Bio-Economy","Agriculture, horticulture, fisheries and pets","Livestock, pets and horses","Livestock feed and nutrition","",""
"SL0049","Airports","Sustainability and Infrastructure","Energy and infrastructure","Airports","","","",""
"SL0358","Airports : Air freight and cargo services","Sustainability and Infrastructure","Energy and infrastructure","Airports","Air freight and cargo services","","01/04/2021",""
"SL0359","Airports : Specialised airport vehicles and equipment","Sustainability and Infrastructure","Energy and infrastructure","Airports","Specialised airport vehicles and equipment","","01/04/2021",""
"SL0360","Airports : Airport security and equipment","Sustainability and Infrastructure","Energy and infrastructure","Airports","Airport security and equipment","","01/04/2021",""
"SL0361","Airports : Air traffic control and airspace management","Sustainability and Infrastructure","Energy and infrastructure","Airports","Air traffic control and airspace management","","01/04/2021",""
"SL0362","Airports : Airport management, flight and passenger operations","Sustainability and Infrastructure","Energy and infrastructure","Airports","Airport management, flight and passenger operations","","01/04/2021",""
